"Osio","Kategoria","Nimi","NykyinenURL","HttpsURL","HttpsToimii","HTTP","LopullinenURL","Huomio"
"Lehdet","Suomalaiset paikallislehdet","Kiuruvesi-lehti","http://www.kiuruvesilehti.fi/","https://www.kiuruvesilehti.fi/","True","200",,"HEAD ok"
"Lehdet","Suomalaiset paikallislehdet","Koillis-Savo (lehti)","http://www.koillis-savo.fi","https://www.koillis-savo.fi","True","200",,"HEAD ok"
"Kuntien verkkosivut","Kunta","kökar","http://www.kokar.ax/","https://www.kokar.ax/","True","200",,"HEAD ok"
"Palvelukategoriat","Teatterit","Tampereen Komediateatteri","http://www.komediateatteri.fi/","https://www.komediateatteri.fi/","True","200",,"HEAD ok"
"Lehdet","Suomalaiset paikallislehdet","Komiat","http://www.komiatlehti.fi/","https://www.komiatlehti.fi/","True","200",,"HEAD ok"
"Lehdet","Suomalaiset paikallislehdet","Koti-Karjala","http://www.kotikarjala.fi","https://www.kotikarjala.fi","True","200",,"GET ok"
"Palvelukategoriat","Teatterit","Kotkan Kaupunginteatteri","http://www.kotkanteatteri.fi/","https://www.kotkanteatteri.fi/","True","200",,"HEAD ok"
"Palvelukategoriat","Teatterit","Kouvolan Teatteri","http://www.kouvolanteatteri.fi/","https://www.kouvolanteatteri.fi/","True","200",,"HEAD ok"
"Lehdet","Suomalaiset paikallislehdet","Kuhmolainen","http://www.kuhmolainen.fi","https://www.kuhmolainen.fi","True","200",,"HEAD ok"
"Lehdet","Suomalaiset paikallislehdet","Kunnallislehti Paimio-Sauvo-Kaarina","http://www.kuntsari.fi/","https://www.kuntsari.fi/","True","200",,"HEAD ok"
"Lehdet","Suomalaiset paikallislehdet","Kurikka-lehti","http://www.kurikka-lehti.fi","https://www.kurikka-lehti.fi","True","200",,"GET ok"
"Lehdet","Suomalaiset paikallislehdet","Kyrönmaa (lehti)","http://www.kyronmaa-lehti.fi/","https://www.kyronmaa-lehti.fi/","True","200",,"GET ok"
"Palvelukategoriat","Teatterit","Lahden kaupunginteatteri","http://www.lahdenkaupunginteatteri.fi/","https://www.lahdenkaupunginteatteri.fi/","True","200",,"HEAD ok"
"Lehdet","Suomalaiset paikallislehdet","Lakeuden portti","http://www.lakeudenportti.com/","https://www.lakeudenportti.com/","True","200",,"HEAD ok"
"Lehdet","Suomalaiset paikallislehdet","Lapuan Sanomat","http://www.lapuansanomat.fi/","https://www.lapuansanomat.fi/","True","200",,"GET ok"
"Lehdet","Suomalaiset paikallislehdet","Lauttakylä-lehti","http://www.lauttakyla.fi/","https://www.lauttakyla.fi/","True","200",,"HEAD ok"
"Lehdet","Suomalaiset paikallislehdet","Lieksan Lehti","http://www.lieksanlehti.fi","https://www.lieksanlehti.fi","True","200",,"HEAD ok"
"Lehdet","Suomalaiset paikallislehdet","Loviisan Sanomat","http://www.loviisansanomat.net/","https://www.loviisansanomat.net/","True","200",,"HEAD ok"
"Palvelukategoriat","Teatterit","Mikkelin Teatteri","http://www.mikkelinteatteri.fi/","https://www.mikkelinteatteri.fi/","True","200",,"HEAD ok"
"Palvelukategoriat","Teatterit","Tanssiteatteri Minimi","http://www.minimi.fi/","https://www.minimi.fi/","True","200",,"HEAD ok"
"Lehdet","Suomalaiset paikallislehdet","Orimattilan Sanomat","http://www.orimattilansanomat.fi/","https://www.orimattilansanomat.fi/","True","200",,"GET ok"
"Lehdet","Suomalaiset paikallislehdet","Perniönseudun Lehti","http://www.pernionseudunlehti.fi","https://www.pernionseudunlehti.fi","True","200",,"HEAD ok"
"Lehdet","Suomalaiset paikallislehdet","Pietarsaaren Sanomat","http://www.pietarsaarensanomat.fi/","https://www.pietarsaarensanomat.fi/","True","200",,"HEAD ok"
"Lehdet","Suomalaiset paikallislehdet","Pargas Kungörelser – Paraisten Kuulutukset","http://www.pku.fi/","https://www.pku.fi/","True","200",,"HEAD ok"
"Lehdet","Suomalaiset paikallislehdet","Pohjankyrö-lehti","http://www.pohjankyro-lehti.fi","https://www.pohjankyro-lehti.fi","True","200",,"GET ok"
"Lehdet","Suomalaiset paikallislehdet","Pohjois-Satakunta","http://www.pohjoissatakuntalehti.fi","https://www.pohjoissatakuntalehti.fi","False","","","The SSL connection could not be established, see inner exception."
"Palvelukategoriat","Teatterit","Porin Teatteri","http://www.porinteatteri.fi/","https://www.porinteatteri.fi/","True","200",,"HEAD ok"
"Lehdet","Suomalaiset paikallislehdet","Punkalaitumen Sanomat","http://www.punkalaitumensanomat.fi","https://www.punkalaitumensanomat.fi","True","200",,"HEAD ok"
"Palvelukategoriat","Teatterit","Tanssiteatteri Raatikko","http://www.raatikko.fi/","https://www.raatikko.fi/","True","200",,"HEAD ok"
"Lehdet","Suomalaiset paikallislehdet","Rannikkoseutu","http://www.rannikkoseutu.fi","https://www.rannikkoseutu.fi","True","200",,"HEAD ok"
"Palvelukategoriat","Teatterit","Rauman teatteri","http://www.raumanteatteri.fi/","https://www.raumanteatteri.fi/","True","200",,"HEAD ok"
"Lehdet","Suomalaiset paikallislehdet","Reisjärvi (lehti)","http://www.reisjarvilehti.fi/","https://www.reisjarvilehti.fi/","True","200",,"HEAD ok"
"Palvelukategoriat","Teatterit","Riihimäen Teatteri","http://www.riihimaenteatteri.fi","https://www.riihimaenteatteri.fi","True","200",,"HEAD ok"
"Palvelukategoriat","Teatterit","Tanssiteatteri Rimpparemmi","http://www.rimpparemmi.fi/","https://www.rimpparemmi.fi/","True","200",,"HEAD ok"
"Palvelukategoriat","Teatterit","Rovaniemen Teatteri","http://www.rovaniementeatteri.fi/","https://www.rovaniementeatteri.fi/","True","200",,"HEAD ok"
"Lehdet","Suomalaiset paikallislehdet","Teisko-Aitolahti","http://www.ruovesi-lehti.fi/","https://www.ruovesi-lehti.fi/","True","200",,"HEAD ok"
"Palvelukategoriat","Teatterit","Savonlinnan Teatteri","http://www.savonlinnanteatteri.fi/","https://www.savonlinnanteatteri.fi/","True","200",,"HEAD ok"
"Lehdet","Suomalaiset paikallislehdet","Siikajokilaakso (sanomalehti)","http://www.siikkis.fi","https://www.siikkis.fi","True","200",,"HEAD ok"
"Lehdet","Suomalaiset paikallislehdet","Paikallislehti Sisä-Savo","http://www.sisa-savolehti.fi","https://www.sisa-savolehti.fi","True","200",,"HEAD ok"
"Lehdet","Suomalaiset paikallislehdet","Soisalon Seutu","http://www.soisalonseutu.fi","https://www.soisalonseutu.fi","True","200",,"HEAD ok"
"Lehdet","Suomalaiset paikallislehdet","Suupohjan Sanomat","http://www.suupohjansanomat.fi","https://www.suupohjansanomat.fi","True","200",,"HEAD ok"
"Palvelukategoriat","Teatterit","Svenska Teatern","http://www.svenskateatern.fi/sv/start/","https://www.svenskateatern.fi/sv/start/","True","200",,"HEAD ok"
"Palvelukategoriat","Teatterit","Tampereen Teatteri","http://www.tampereenteatteri.fi/","https://www.tampereenteatteri.fi/","True","200",,"HEAD ok"
