"Osio","Kategoria","Nimi","URL","Lähde","Tarkistus","HTTP","Turvallisuus","Lopullinen URL","Huomiot"
"Hyvinvointialueet","Hyvinvointialue","Hyvinvointialue 01","https://itauusimaa.fi/","localServices.ts","ok","200","ok","https://itauusimaa.fi/",""
"Hyvinvointialueet","Hyvinvointialue","Hyvinvointialue 02","https://www.keusote.fi/","localServices.ts","ok","200","ok","https://www.keusote.fi/",""
"Hyvinvointialueet","Hyvinvointialue","Hyvinvointialue 03","https://www.luvn.fi/","localServices.ts","ok","200","ok","https://www.luvn.fi/fi",""
"Hyvinvointialueet","Hyvinvointialue","Hyvinvointialue 04","https://vakehyva.fi/","localServices.ts","ok","200","ok","https://vakehyva.fi/fi",""
"Hyvinvointialueet","Hyvinvointialue","Hyvinvointialue 05","https://www.varha.fi/","localServices.ts","ok","200","ok","https://www.varha.fi/fi",""
"Hyvinvointialueet","Hyvinvointialue","Hyvinvointialue 06","https://sata.fi/","localServices.ts","ok","200","ok","https://satakunnanhyvinvointialue.fi/",""
"Hyvinvointialueet","Hyvinvointialue","Hyvinvointialue 07","https://omahame.fi/","localServices.ts","ok","200","ok","https://omahame.fi/",""
"Hyvinvointialueet","Hyvinvointialue","Hyvinvointialue 08","https://www.pirha.fi/","localServices.ts","ok","200","ok","https://www.pirha.fi/",""
"Hyvinvointialueet","Hyvinvointialue","Hyvinvointialue 09","https://paijat-sote.fi/","localServices.ts","ok","200","ok","https://paijatha.fi/",""
"Hyvinvointialueet","Hyvinvointialue","Hyvinvointialue 10","https://kymenhva.fi/","localServices.ts","ok","200","ok","https://kymenhva.fi/",""
"Hyvinvointialueet","Hyvinvointialue","Hyvinvointialue 11","https://www.ekhva.fi/","localServices.ts","ok","200","ok","https://www.ekhva.fi/",""
"Hyvinvointialueet","Hyvinvointialue","Hyvinvointialue 12","https://etelasavonha.fi/","localServices.ts","ok","200","ok","https://etelasavonha.fi/",""
"Hyvinvointialueet","Hyvinvointialue","Hyvinvointialue 13","https://pshyvinvointialue.fi/","localServices.ts","ok","200","ok","https://pshyvinvointialue.fi/",""
"Hyvinvointialueet","Hyvinvointialue","Hyvinvointialue 14","https://www.siunsote.fi/","localServices.ts","ok","200","ok","https://www.siunsote.fi/",""
"Hyvinvointialueet","Hyvinvointialue","Hyvinvointialue 15","https://www.hyvaks.fi/","localServices.ts","ok","200","ok","https://www.hyvaks.fi/",""
"Hyvinvointialueet","Hyvinvointialue","Hyvinvointialue 16","https://www.hyvaep.fi/","localServices.ts","huomio","500","ok","https://www.hyvaep.fi/","HTTP 500"
"Hyvinvointialueet","Hyvinvointialue","Hyvinvointialue 17","https://pohjanmaanhyvinvointi.fi/","localServices.ts","ok","200","ok","https://pohjanmaanhyvinvointi.fi/",""
"Hyvinvointialueet","Hyvinvointialue","Hyvinvointialue 18","https://soite.fi/","localServices.ts","ok","200","ok","https://soite.fi/",""
"Hyvinvointialueet","Hyvinvointialue","Hyvinvointialue 19","https://pohde.fi/","localServices.ts","ok","200","ok","https://pohde.fi/",""
"Hyvinvointialueet","Hyvinvointialue","Hyvinvointialue 20","https://kainuunhyvinvointialue.fi/","localServices.ts","ok","200","ok","https://hyvinvointialue.kainuu.fi/",""
"Hyvinvointialueet","Hyvinvointialue","Hyvinvointialue 21","https://lapha.fi/","localServices.ts","ok","200","ok","https://lapha.fi/",""
"Hyvinvointialueet","Hyvinvointialue","Hyvinvointialue 90","https://www.hel.fi/fi/sosiaali-ja-terveyspalvelut","localServices.ts","ok","200","ok","https://www.hel.fi/fi/sosiaali-ja-terveyspalvelut",""
"Hyvinvointialueet","Hyvinvointialue","Hyvinvointialue 91","https://www.aland.fi/","localServices.ts","virhe","","huomio","","DNS ei ratkennut: ENOTFOUND; fetch failed"
"Kuntien verkkosivut","Kunta","akaa","https://akaa.fi/","municipalityWebsites.ts","ok","200","ok","https://akaa.fi/",""
"Kuntien verkkosivut","Kunta","alajärvi","https://alajarvi.fi/","municipalityWebsites.ts","ok","200","ok","https://alajarvi.fi/",""
"Kuntien verkkosivut","Kunta","alavieska","https://www.alavieska.fi/","municipalityWebsites.ts","ok","200","ok","https://www.alavieska.fi/",""
"Kuntien verkkosivut","Kunta","alavus","https://www.alavus.fi/","municipalityWebsites.ts","ok","200","ok","https://www.alavus.fi/",""
"Kuntien verkkosivut","Kunta","asikkala","https://asikkala.fi/","municipalityWebsites.ts","ok","200","ok","https://asikkala.fi/",""
"Kuntien verkkosivut","Kunta","askola","https://askola.fi/","municipalityWebsites.ts","ok","200","ok","https://askola.fi/",""
"Kuntien verkkosivut","Kunta","aura","https://aura.fi/","municipalityWebsites.ts","ok","200","ok","https://www.aura.fi/",""
"Kuntien verkkosivut","Kunta","brändö","https://www.brando.ax/","municipalityWebsites.ts","ok","200","ok","https://www.brando.ax/",""
"Kuntien verkkosivut","Kunta","eckerö","https://www.eckero.ax/","municipalityWebsites.ts","ok","200","ok","https://www.eckero.ax/",""
"Kuntien verkkosivut","Kunta","enonkoski","https://enonkoski.fi/","municipalityWebsites.ts","ok","200","ok","https://enonkoski.fi/",""
"Kuntien verkkosivut","Kunta","enontekiö","https://enontekio.fi/","municipalityWebsites.ts","huomio","404","ok","https://enontekio.fi/","HTTP 404"
"Kuntien verkkosivut","Kunta","espoo","https://www.espoo.fi","municipalityWebsites.ts","ok","200","ok","https://www.espoo.fi/fi",""
"Kuntien verkkosivut","Kunta","eura","https://www.eura.fi/","municipalityWebsites.ts","ok","200","ok","https://www.eura.fi/",""
"Kuntien verkkosivut","Kunta","eurajoki","https://www.eurajoki.fi/","municipalityWebsites.ts","huomio","403","ok","https://www.eurajoki.fi/","HTTP 403"
"Kuntien verkkosivut","Kunta","evijärvi","https://evijarvi.fi/","municipalityWebsites.ts","ok","200","ok","https://evijarvi.fi/",""
"Kuntien verkkosivut","Kunta","finström","https://www.finstrom.ax/","municipalityWebsites.ts","ok","200","ok","https://www.finstrom.ax/",""
"Kuntien verkkosivut","Kunta","forssa","https://www.forssa.fi/","municipalityWebsites.ts","ok","200","ok","https://www.forssa.fi/",""
"Kuntien verkkosivut","Kunta","föglö","https://www.foglo.ax/","municipalityWebsites.ts","ok","200","ok","https://www.foglo.ax/",""
"Kuntien verkkosivut","Kunta","geta","https://www.geta.ax/","municipalityWebsites.ts","ok","200","ok","https://www.geta.ax/",""
"Kuntien verkkosivut","Kunta","haapajärvi","https://www.haapajarvi.fi/","municipalityWebsites.ts","ok","200","ok","https://www.haapajarvi.fi/",""
"Kuntien verkkosivut","Kunta","haapavesi","https://haapavesi.fi/","municipalityWebsites.ts","virhe","","ok","","fetch failed"
"Kuntien verkkosivut","Kunta","hailuoto","https://hailuoto.fi/","municipalityWebsites.ts","ok","200","ok","https://hailuoto.fi/",""
"Kuntien verkkosivut","Kunta","halsua","https://halsua.fi/","municipalityWebsites.ts","ok","200","ok","https://halsua.fi/",""
"Kuntien verkkosivut","Kunta","hamina","https://www.hamina.fi/","municipalityWebsites.ts","ok","200","ok","https://www.hamina.fi/",""
"Kuntien verkkosivut","Kunta","hammarland","https://www.hammarland.ax/","municipalityWebsites.ts","ok","200","ok","https://www.hammarland.ax/",""
"Kuntien verkkosivut","Kunta","hankasalmi","https://hankasalmi.fi/","municipalityWebsites.ts","ok","200","ok","https://hankasalmi.fi/",""
"Kuntien verkkosivut","Kunta","hanko","https://hanko.fi/","municipalityWebsites.ts","ok","200","ok","https://hanko.fi/",""
"Kuntien verkkosivut","Kunta","harjavalta","https://www.harjavalta.fi/","municipalityWebsites.ts","ok","200","ok","https://www.harjavalta.fi/",""
"Kuntien verkkosivut","Kunta","hartola","https://hartola.fi/","municipalityWebsites.ts","ok","200","ok","https://hartola.fi/",""
"Kuntien verkkosivut","Kunta","hattula","https://hattula.fi/","municipalityWebsites.ts","ok","200","ok","https://hattula.fi/",""
"Kuntien verkkosivut","Kunta","hausjärvi","https://www.hausjarvi.fi/","municipalityWebsites.ts","huomio","500","ok","https://www.hausjarvi.fi/","HTTP 500"
"Kuntien verkkosivut","Kunta","heinola","https://www.heinola.fi/","municipalityWebsites.ts","ok","200","ok","https://www.heinola.fi/",""
"Kuntien verkkosivut","Kunta","heinävesi","https://www.heinavesi.fi/","municipalityWebsites.ts","ok","200","ok","https://www.heinavesi.fi/",""
